VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
4425,MARTIGNETTI COMPANIES,33582,Villa Cornaro Prosecco Del,6.46,9.95,750.0,23406.0,151202.75999999995,23538.0,258911.62000000052,81723.8299999989,2633.9800000000205,144929.24,107708.86000000057,41.60062804442703,1.0056395795949757,1.7123471820223428
2000,SOUTHERN WINE & SPIRITS NE,31915,F Coppola Diamond Chard,8.27,12.99,750.0,18270.0,151092.9,18011.0,209370.09000000128,76727.39999999898,2013.2200000000244,19016.59,58277.19000000128,27.83453453165203,0.985823754789272,1.385704358047276
653,STATE WINE & SPIRITS,20533,Bread & Butter Chard,8.55,12.99,750.0,17649.0,150898.94999999995,17025.0,221166.75000000087,82990.11999999889,1902.4100000000158,8014.98,70267.80000000092,31.77141229411774,0.964643889172191,1.4656612918777827
4425,MARTIGNETTI COMPANIES,44547,Silver Oak Cab Svgn Alex Vly,45.15,74.99,750.0,3342.0,150891.29999999996,3179.0,229163.5300000002,124354.00999999991,353.55999999999943,144929.24,78272.23000000024,34.15562240641003,0.9512268102932376,1.5187325578081723
4425,MARTIGNETTI COMPANIES,16794,Freakshow Cab Svgn,10.94,18.99,750.0,13771.0,150654.73999999996,13606.0,254650.63000000062,112155.35999999917,1517.5800000000115,144929.24,103995.89000000065,40.838654119960516,0.9880182993246678,1.690292851057993
17035,PERNOD RICARD USA,3364,Absolut Ruby Red,17.85,24.99,1750.0,8432.0,150511.19999999995,8353.0,209811.47000000134,136089.82999999938,15352.489999999927,123780.21999999997,59300.27000000139,28.26359779091248,0.9906309297912713,1.3939924072095724
12546,JIM BEAM BRANDS COMPANY,8562,DeKuyper Peachtree Trav,11.44,16.99,1750.0,13156.0,150504.63999999984,13026.0,205463.74000000168,122148.87999999865,23937.670000000235,123880.96999999999,54959.10000000184,26.74880735647146,0.9901185770750988,1.3651654859278883
3252,E & J GALLO WINERY,40337,Da Vinci Chianti Tuscany,6.57,9.99,750.0,22889.0,150380.72999999998,21970.0,216780.8000000009,82389.06999999855,2454.16000000003,61966.909999999996,66400.07000000091,30.63005118534512,0.9598497094674298,1.441546400260199
3252,E & J GALLO WINERY,20863,W Hill Est Chard N Coast,8.84,12.99,750.0,16999.0,150271.16000000024,14829.0,176611.98999999964,63165.35999999929,1658.0000000000064,61966.909999999996,26340.829999999405,14.91451967672153,0.8723454320842402,1.1752886581829765
9819,TREASURY WINE ESTATES,18893,19 Crimes Red,6.89,9.99,750.0,21791.0,150139.9900000002,20530.0,195851.09999999992,74879.71999999945,2293.580000000017,14836.570000000005,45711.109999999724,23.339725944863083,0.9421320728741224,1.304456594142571
